Title,Summary
Scared Shitless,"A plumber and his germophobic son are forced to get their hands dirty to save the residents of an apartment building, when a genetically engineered, blood-thirsty creature escapes into the plumbing system."
Viva La Vida,"A young woman who needs a kidney transplant wants to marry someone who will be able to donate a kidney, and meets a young man who has a brain disease."
Non Negotiable,"Alan Binder is a skillful hostage negotiator, the best in Mexico, who will soon face the most crucial case of his career when the President and his lover are kidnapped. The kidnapper demands to negotiate only with him."
Rent Free,"After hitting emotional and financial rock bottom, best friends Ben and Jordan come up with a scheme to spend an entire year living ""rent free"" with the help of friends, family and strangers alike in a rapidly changing Austin."
Body Language,"A woman who excels at reading body language realizes that something is deeply wrong during a quiet night at home, turning a peaceful night into a terrifying fight for her own survival."
La Grande,The career of Dominican Merengue Típico singer Fefita La Grande.
The Ritual,"When given the chance to reunite with her deceased father, college sophomore Maria joins a paranormal academic group led by Louis. However, their scientific venture unearths an ancient ritual in which the group is doomed to take part."
Thank You for Banking with Us,"When their father passes away leaving a large sum of money in the bank, two sisters put their differences aside and join forces against Sharia law, according to which their brother has the right to take double what they are entitled to."
Al Leib Maa Al Eyal,"After being transferred to a school in a desert region, Allam, a history teacher, faces some unanticipated challenges."
Reinas,Two teenage sisters are about to leave their country forever when they unexpectedly reconnect with an absent father. This relationship will both amplify and ease their pain of change.
The Holiday Club,Follows two friends growing relationship over the course of a year in holidays.
The Death That Awaits,A drifter searching for answers to a mystery from her past takes on a job looking after a sick teen who is undergoing a mysterious transformation her family will do anything to stop.
Donselya,"An 18-year-old virgin, Iris, enters a marriage of convenience with wealthy widower Joaquin for financial gain. However, the discovery of her deceit regarding her purity leads to a disastrous honeymoon."
Kid Santa,
Son's Will,"A post-apocalyptic tale set in the west Balkans, after a nuclear war."
Brewster's Millions: Christmas,"Follows Morgan Brewster's quest to inherit her uncle's fortune before Christmas. Amid holiday chaos, she discovers love, faith, and family's importance through giving."
Architecton,"An extraordinary journey through the material that makes up our habitat: concrete and its ancestor, stone."
What a Feeling,Love between cultures and conventions: There is no straight path for Marie Theres and Fa. A heartfelt and clever romantic comedy about two middle aged women who refuse to be pushed to the sideline of life.
Mona: Jinn-2,
Mayan,A a mythological mysterious film based on Indian mythology and Mayan tribes and their connection with the apocalypse of this world. Talks about the origins of human and their end.
Holy Cash,"Follows con artists Pablo and Guero as they exploit an ex-convict preacher, ""Willy Dollars,"" to create a successful religious show. However, their scheme draws the attention of a mafia boss, Chato, who demands Pablo cure his ill daughter."
A Toast to Love,"A marine archaeologist works on a shipwreck, uncovers a romantic tale behind a wine discovery, and sparks a romance with a Spanish winemaker."
A Mother's Embrace,"During massive 1996 Rio storm, firefighter Ana and her firefighter team must evacuate a collapsing nursing home, but the mysterious residents have other sinister plans."
Swede Caroline,"In this British Mockumentary, the competitive giant vegetable growing world is rocked by scandal when up-and-coming prospect Caroline has her prized marrow plants stolen."
The Holiday Exchange,"Wilde must cope with vacationing as a bachelor, so he decides to swap houses on an LGBTQ app with Oliver. In their efforts to escape their woes they end up meeting two locals who set romance on fire from LA to the charming town of Brilfax."
Freelance,"When a down-on-her luck video editor takes on a mysterious, well-paying job cutting snuff films, she is haunted by visions of the people in her videos."
Mister Green,"In Rome's Tuscolano district, Carabinieri sirens echo as three young men-Paolo, Davide, and Aran-sit tense in an apartment filled with jars of marijuana."
Hellbent on Boogie,Alan finds his sister Quinn living under their controlling mom's thumb. He plans their escape so she can follow her dancing dreams.
The Time of Fever,"Childhood friends Ho Tae and Dong Hee reunite after years. Dong Hee harbors feelings for Ho Tae, who experiences new emotions toward her but dates girls. An incident strains their relationship dynamics."
Om Bheem Bush,"Follows three scientists who come to a village to find a treasure, but things don't turn easy for them because there is black magic in that village."
Salisihan,"When a childless couple lets a pregnant woman inside their home, temptation starts to shake their once peaceful life."
Painter and Lampshade,"An artist meets a mysterious woman who becomes his model for his nude artwork. He then fantasizes making love to her; however, he always remembers her number one rule - she can't be touched."
Miki,"In the 1990s post-communist Slovakia, former woods worker Miki takes his chances to start doing business at a local level and climb up the ladder to become the biggest mafia boss in the country."
Big Rage,The fight to reconcile one's past while navigating a future shaped by unexpected love and loyalties unfolds in the ecological disaster know as the Salton Sea.
